iter	Passed	Remaining
420	2449	3369
421	2455	3363
422	2461	3357
423	2466	3351
424	2472	3345
425	2478	3339
426	2483	3332
427	2490	3328
428	2495	3321
429	2500	3314
430	2507	3310
431	2513	3304
432	2518	3298
433	2524	3292
434	2530	3286
435	2535	3279
436	2541	3274
437	2546	3267
438	2552	3261
439	2559	3257
440	2565	3251
441	2572	3248
442	2577	3241
443	2583	3235
444	2591	3232
445	2600	3229
446	2608	3226
447	2614	3221
448	2621	3216
449	2626	3210
450	2631	3203
451	2637	3197
452	2642	3191
453	2648	3185
454	2653	3178
455	2658	3171
456	2664	3165
457	2669	3159
458	2674	3152
459	2679	3146
460	2685	3140
461	2690	3133
462	2697	3129
463	2704	3124
464	2712	3120
465	2719	3115
466	2724	3109
467	2732	3106
468	2738	3099
469	2745	3095
470	2751	3090
471	2758	3085
472	2766	3082
473	2773	3078
474	2781	3074
475	2787	3069
476	2795	3065
477	2802	3060
478	2812	3058
479	2821	3056
480	2828	3052
481	2835	3046
482	2840	3040
483	2846	3034
484	2851	3027
485	2856	3021
486	2862	3015
487	2867	3008
488	2873	3002
489	2879	2996
490	2885	2991
491	2890	2985
492	2896	2978
493	2901	2971
494	2907	2965
495	2913	2960
496	2920	2955
497	2927	2950
498	2934	2946
499	2943	2943
500	2950	2938
501	2957	2934
502	2963	2928
503	2971	2924
504	2978	2919
505	2984	2913
506	2991	2909
507	2998	2903
508	3005	2899
509	3011	2893
510	3017	2887
511	3024	2883
512	3030	2877
513	3039	2874
514	3045	2868
515	3054	2864
516	3060	2859
517	3065	2852
518	3073	2848
519	3079	2842
520	3087	2838
521	3094	2833
522	3102	2829
523	3110	2825
524	3119	2822
525	3126	2817
526	3133	2812
527	3139	2806
528	3144	2799
529	3152	2795
530	3159	2790
531	3169	2787
532	3176	2783
533	3186	2781
534	3192	2775
535	3199	2769
536	3205	2763
537	3215	2760
538	3223	2756
539	3230	2752
540	3237	2746
541	3243	2740
542	3250	2736
543	3257	2730
544	3264	2725
545	3270	2719
546	3277	2714
547	3285	2709
548	3291	2703
549	3298	2698
550	3304	2692
551	3312	2688
552	3319	2683
553	3326	2678
554	3334	2673
555	3339	2667
556	3347	2662
557	3352	2655
558	3358	2649
559	3364	2643
560	3370	2637
561	3378	2633
562	3384	2626
563	3390	2620
564	3396	2614
565	3401	2608
566	3407	2602
567	3413	2595
568	3419	2589
569	3426	2585
570	3433	2579
571	3439	2573
572	3446	2568
573	3452	2562
574	3460	2557
575	3466	2551
576	3472	2545
577	3478	2539
578	3484	2533
579	3495	2531
